case,emirate,education_type,gender,nationality,curriculum,students,schools,teachers,ptr,pf_rows,score_rows,nat_rows,avg_score
gender=Female | curriculum=Pakistani,,,Female,,Pakistani,111403,4,13938,7.9928,0,0,0,
gender=Male | curriculum=Pakistani,,,Male,,Pakistani,119935,4,13938,8.6049,0,0,0,
curriculum=Special,,,,,Special,198443,3,12334,16.0891,0,0,0,
gender=Female | curriculum=Special,,,Female,,Special,96004,3,12334,7.7837,0,0,0,
gender=Male | curriculum=Special,,,Male,,Special,102439,3,12334,8.3054,0,0,0,
curriculum=U.A.E,,,,,U.A.E,541440,124,38413,14.0952,0,0,0,
gender=Female | curriculum=U.A.E,,,Female,,U.A.E,269295,124,38413,7.0105,0,0,0,
gender=Male | curriculum=U.A.E,,,Male,,U.A.E,272145,124,38413,7.0847,0,0,0,
curriculum=U.A.E;Charter Schools-ADEK,,,,,U.A.E;Charter Schools-ADEK,11843,1,1141,10.3795,0,0,0,
gender=Female | curriculum=U.A.E;Charter Schools-ADEK,,,Female,,U.A.E;Charter Schools-ADEK,5931,1,1141,5.1981,0,0,0,
gender=Male | curriculum=U.A.E;Charter Schools-ADEK,,,Male,,U.A.E;Charter Schools-ADEK,5912,1,1141,5.1814,0,0,0,
curriculum=U.A.E;G.C.S.E,,,,,U.A.E;G.C.S.E,101821,1,8131,12.5226,0,0,0,
gender=Female | curriculum=U.A.E;G.C.S.E,,,Female,,U.A.E;G.C.S.E,52866,1,8131,6.5018,0,0,0,
gender=Male | curriculum=U.A.E;G.C.S.E,,,Male,,U.A.E;G.C.S.E,48955,1,8131,6.0208,0,0,0,
nationality=Emirati,,,,Emirati,,282654,754,39597,7.1383,0,0,0,
gender=Female | nationality=Emirati,,,Female,Emirati,,143202,754,39597,3.6165,0,0,0,
gender=Male | nationality=Emirati,,,Male,Emirati,,139452,754,39597,3.5218,0,0,0,
nationality=Resident,,,,Resident,,277089,754,39597,6.9977,0,0,0,
gender=Female | nationality=Resident,,,Female,Resident,,135368,754,39597,3.4186,0,0,0,
gender=Male | nationality=Resident,,,Male,Resident,,141721,754,39597,3.5791,0,0,0,
emirate=ABU DHABI | education_type=Applied Technology High School (ATHS) | curriculum=ATHS,ABU DHABI,Applied Technology High School (ATHS),,,ATHS,9874,12,733,13.4707,0,0,0,
emirate=ABU DHABI | education_type=Applied Technology High School (ATHS) | gender=Female | curriculum=ATHS,ABU DHABI,Applied Technology High School (ATHS),Female,,ATHS,5358,12,733,7.3097,0,0,0,
emirate=ABU DHABI | education_type=Applied Technology High School (ATHS) | gender=Male | curriculum=ATHS,ABU DHABI,Applied Technology High School (ATHS),Male,,ATHS,4516,12,733,6.161,0,0,0,
emirate=ABU DHABI | education_type=Continuous Education | curriculum=Ministry of Education Curriculum,ABU DHABI,Continuous Education,,,Ministry of Education Curriculum,4723,7,76,62.1447,0,0,0,
emirate=ABU DHABI | education_type=Continuous Education | gender=Female | curriculum=Ministry of Education Curriculum,ABU DHABI,Continuous Education,Female,,Ministry of Education Curriculum,2908,7,76,38.2632,0,0,0,
emirate=ABU DHABI | education_type=Continuous Education | gender=Male | curriculum=Ministry of Education Curriculum,ABU DHABI,Continuous Education,Male,,Ministry of Education Curriculum,1815,7,76,23.8816,0,0,0,
emirate=ABU DHABI | education_type=Private Schools MOE Curriculum | curriculum=U.A.E,ABU DHABI,Private Schools MOE Curriculum,,,U.A.E,32632,23,2425,13.4565,0,0,0,
emirate=ABU DHABI | education_type=Private Schools MOE Curriculum | gender=Female | curriculum=U.A.E,ABU DHABI,Private Schools MOE Curriculum,Female,,U.A.E,16264,23,2425,6.7068,0,0,0,
emirate=ABU DHABI | education_type=Private Schools MOE Curriculum | gender=Male | curriculum=U.A.E,ABU DHABI,Private Schools MOE Curriculum,Male,,U.A.E,16368,23,2425,6.7497,0,0,0,
emirate=ABU DHABI | education_type=Private Schools MOE Curriculum | curriculum=U.A.E;G.C.S.E,ABU DHABI,Private Schools MOE Curriculum,,,U.A.E;G.C.S.E,32632,1,2425,13.4565,0,0,0,
emirate=ABU DHABI | education_type=Private Schools MOE Curriculum | gender=Female | curriculum=U.A.E;G.C.S.E,ABU DHABI,Private Schools MOE Curriculum,Female,,U.A.E;G.C.S.E,16264,1,2425,6.7068,0,0,0,
emirate=ABU DHABI | education_type=Private Schools MOE Curriculum | gender=Male | curriculum=U.A.E;G.C.S.E,ABU DHABI,Private Schools MOE Curriculum,Male,,U.A.E;G.C.S.E,16368,1,2425,6.7497,0,0,0,
emirate=ABU DHABI | education_type=Public | curriculum=Ministry of Education Curriculum,ABU DHABI,Public,,,Ministry of Education Curriculum,54592,90,4897,11.148,0,0,0,
